Id,Id2,Geography,Estimate; Total
0400000US01,1,Alabama,4817678
0400000US02,2,Alaska,728300
0400000US04,4,Arizona,6561516
0400000US05,5,Arkansas,2947036
0400000US06,6,California,38066920
0400000US08,8,Colorado,5197580
0400000US09,9,Connecticut,3592053
0400000US10,10,Delaware,917060
0400000US11,11,District of Columbia,633736
0400000US12,12,Florida,19361792
0400000US13,13,Georgia,9907756
0400000US15,15,Hawaii,1392704
0400000US16,16,Idaho,1599464
0400000US17,17,Illinois,12868747
0400000US18,18,Indiana,6542411
0400000US19,19,Iowa,3078116
0400000US20,20,Kansas,2882946
0400000US21,21,Kentucky,4383272
0400000US22,22,Louisiana,4601049
0400000US23,23,Maine,1328535
0400000US24,24,Maryland,5887776
0400000US25,25,Massachusetts,6657291
0400000US26,26,Michigan,9889024
0400000US27,27,Minnesota,5383661
0400000US28,28,Mississippi,2984345
0400000US29,29,Missouri,6028076
0400000US30,30,Montana,1006370
0400000US31,31,Nebraska,1855617
0400000US32,32,Nevada,2761584
0400000US33,33,New Hampshire,1321069
0400000US34,34,New Jersey,8874374
0400000US35,35,New Mexico,2080085
0400000US36,36,New York,19594330
0400000US37,37,North Carolina,9750405
0400000US38,38,North Dakota,704925
0400000US39,39,Ohio,11560380
0400000US40,40,Oklahoma,3818851
0400000US41,41,Oregon,3900343
0400000US42,42,Pennsylvania,12758729
0400000US44,44,Rhode Island,1053252
0400000US45,45,South Carolina,4727273
0400000US46,46,South Dakota,834708
0400000US47,47,Tennessee,6451365
0400000US48,48,Texas,26092033
0400000US49,49,Utah,2858111
0400000US50,50,Vermont,626358
0400000US51,51,Virginia,8185131
0400000US53,53,Washington,6899123
0400000US54,54,West Virginia,1853881
0400000US55,55,Wisconsin,5724692
0400000US56,56,Wyoming,575251
0400000US72,72,Puerto Rico,3638965
